Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,Percent_Rucks_Won,Mauls_Won,Total_Mauls,Percent_Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,Percent_Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,Percent_Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
5,2,1,2,50,1,2,50,0.5,0,0,20,131,122,433,0.58,3,14,3,99,10,0.952,5,5,1,9,108,15,0.88,8,1,1,5,0.889,8,2,3,10,0.8,10,2,0,0,0,15,0,9,14
0,7,6,7,85.71428571,2,2,100,0.89,0,0,14,187,140,474,0.88,13,30,13,10,1,0.981,0,0,0,6,123,14,0.9,6,1,2,0,0.857,12,1,2,5,0.923,6,0,0,0,1,53,1,7,14
7,1,0,1,0,0,1,0,0,0,0,8,124,108,220,0.12,7,14,10,87,93,0.935,0,0,0,9,142,30,0.83,0,2,1,6,0,5,2,1,12,0.714,14,1,0,0,0,5,0,2,6
4,4,1,4,25,0,1,0,0.2,0,0,20,138,127,512,0.43,15,19,24,70,73,0.959,5,6,0,11,141,24,0.85,7,0,0,6,1,12,2,0,10,0.857,7,0,0,0,1,22,1,7,7
2,1,1,1,100,1,2,50,0.67,0,0,15,159,152,421,0.57,8,24,8,10,1,0.972,5,6,0,15,85,19,0.82,6,0,0,7,1,10,0,2,12,1,7,0,0,0,0,10,0,6,7
6,0,0,0,0,2,2,100,1,1,0,23,153,135,311,0.53,4,20,10,11,1,0.948,3,5,0,18,134,17,0.89,8,3,1,6,0.727,15,2,2,10,0.882,9,0,0,0,1,9,3,11,11
3,0,0,0,0,3,3,100,1,0,0,33,161,130,276,0.47,1,17,10,10,1,0.981,4,4,1,14,139,20,0.87,6,1,3,8,0.857,10,2,2,15,0.833,11,0,0,0,0,9,3,7,9
9,3,2,3,66.66666667,2,3,66.66666667,0.67,0,0,28,112,81,350,0.6,9,19,3,62,65,0.954,0,0,0,8,96,13,0.88,10,1,0,3,0.909,8,0,1,9,1,11,0,0,0,1,25,1,11,9
8,2,2,2,100,2,4,50,0.67,0,0,26,109,76,356,0.4,6,13,4,63,69,0.913,0,0,0,13,96,19,0.83,3,0,1,10,1,9,1,0,8,0.9,9,0,0,0,0,20,0,3,11
10,2,2,2,100,3,4,75,0.83,0,0,32,142,119,393,0.4,8,16,17,87,90,0.967,0,0,0,12,106,9,0.92,8,3,0,4,0.727,11,0,0,14,1,10,1,0,0,1,23,1,11,11
1,3,1,3,33.33333333,0,2,0,0.2,0,0,29,98,97,395,0.6,4,9,6,61,66,0.924,0,0,0,16,135,16,0.89,4,0,3,8,1,14,0,0,11,1,11,1,0,0,0,17,0,4,10
