Unnamed:_0,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
10,10,0,0,0,0,0,2,0,0,0,0,31,157,97,283,0.55,1,16,11,78,80,0.975,3,4,0,13,64,22,0.74,7,1,2,1,0,13,6,2,10,0.684,6,1,0,5,1,0,0,8,14
11,11,7,7,7,100,1,1,100,1,0,0,23,134,103,766,0.45,14,22,18,55,60,0.917,3,4,0,13,109,16,0.87,1,2,1,7,0,10,2,6,13,0.833,14,1,0,5,0,52,1,3,6
12,9,0,0,0,0,0,2,0,0,0,0,13,129,109,268,0.65,3,22,10,75,81,0.926,9,10,0,20,53,5,0.91,5,2,2,4,0,20,2,2,9,0.909,12,1,0,33,1,0,0,7,14
13,4,3,3,3,100,6,6,100,1,0,0,26,55,56,201,0.35,7,5,3,38,41,0.927,3,4,0,11,123,22,0.85,4,2,2,5,0,9,2,2,20,0.818,14,2,0,33,0,39,1,6,12
14,3,7,6,7,85.71428571,2,2,100,0.89,0,0,18,186,146,652,0.64,14,24,14,84,90,0.933,0,0,0,15,90,18,0.83,2,0,5,5,0,12,1,6,10,0.923,11,0,0,6,1,53,1,2,11
15,10,4,3,4,75,0,1,0,0.6,0,0,13,121,96,387,0.36,11,18,14,53,55,0.964,0,0,0,10,133,24,0.85,5,5,0,2,0,10,6,1,12,0.625,11,0,0,6,0,26,0,10,11
16,1,3,2,3,66.66666667,5,6,83.33333333,0.78,0,0,27,121,94,382,0.43,3,18,9,64,70,0.914,0,0,0,13,108,16,0.87,7,1,2,2,0,9,3,8,9,0.75,10,0,0,4,1,34,1,8,11
17,2,4,2,4,50,1,1,100,0.6,0,0,22,108,88,405,0.57,7,16,7,61,65,0.938,0,0,0,15,117,18,0.87,2,2,1,7,0,9,8,3,9,0.529,11,0,0,4,0,27,0,4,10
18,11,2,2,2,100,2,2,100,1,0,0,26,82,84,300,0.49,5,25,7,45,50,0.9,6,8,0,13,78,11,0.88,6,0,2,8,0,18,5,0,10,0.783,9,1,0,1,1,20,0,6,9
19,6,2,1,2,50,4,4,100,0.83,0,0,35,98,90,270,0.51,8,11,9,54,56,0.964,8,8,1,10,82,25,0.77,8,2,0,6,1,10,0,5,18,1,9,1,0,1,0,24,1,10,9
